# Function introduction versions extracted from the Stan 2.39 Functions Reference.
hypergeometric_lpmf	2.12
hypergeometric_lupmf	2.25
hypergeometric_pFq	2.37
hypergeometric_rng	2.18
hypot	2.0
identity_matrix	2.26
inc_beta	2.10
int_step	2.0
integrand	2.23
integrate_1d	2.23
inv	2.0
inv_Phi	2.0
inv_chi_square_cdf	2.0
inv_chi_square_lccdf	2.12
inv_chi_square_lcdf	2.12
inv_chi_square_lpdf	2.12
inv_chi_square_lupdf	2.25
inv_chi_square_rng	2.18
inv_cloglog	2.0
inv_erfc	2.29
inv_fft	2.30
inv_fft2	2.30
inv_gamma_cdf	2.0
inv_gamma_lccdf	2.12
inv_gamma_lcdf	2.12
inv_gamma_lpdf	2.12
inv_gamma_lupdf	2.25
inv_gamma_rng	2.18
inv_inc_beta	2.30
inv_logit	2.0
inv_sqrt	2.0
inv_square	2.0
inv_wishart_cholesky_lpdf	2.30
inv_wishart_cholesky_lupdf	2.30
inv_wishart_cholesky_rng	2.30
inv_wishart_lpdf	2.12
inv_wishart_lupdf	2.25
inv_wishart_rng	2.0
inverse	2.0
inverse_spd	2.0
is_inf	2.5
is_nan	2.5
lambert_w0	2.25
lambert_wm1	2.25
laplace_latent_bernoulli_logit_rng	2.39
laplace_latent_neg_binomial_2_log_rng	2.39
laplace_latent_poisson_log_rng	2.39
laplace_latent_rng	2.39
laplace_latent_tol_bernoulli_logit_rng	2.39
laplace_latent_tol_neg_binomial_2_log_rng	2.39
laplace_latent_tol_poisson_log_rng	2.39
laplace_latent_tol_rng	2.39
laplace_marginal	2.39
laplace_marginal_bernoulli_logit_lpmf	2.39
laplace_marginal_bernoulli_logit_lupmf	2.39
laplace_marginal_neg_binomial_2_log_lpmf	2.39
laplace_marginal_neg_binomial_2_log_lupmf	2.39
laplace_marginal_poisson_log_lpmf	2.39
laplace_marginal_poisson_log_lupmf	2.39
laplace_marginal_tol	2.39
laplace_marginal_tol_bernoulli_logit_lpmf	2.39
laplace_marginal_tol_bernoulli_logit_lupmf	2.39
laplace_marginal_tol_neg_binomial_2_log_lpmf	2.39
laplace_marginal_tol_neg_binomial_2_log_lupmf	2.39
laplace_marginal_tol_poisson_log_lpmf	2.39
laplace_marginal_tol_poisson_log_lupmf	2.39
lbeta	2.0
lchoose	2.10
ldexp	2.25
lgamma	2.0
likelihood_fun	2.39
likelihood_function	2.39
linspaced_row_vector	2.24
linspaced_vector	2.24
lkj_corr_cholesky_lpdf	2.12
lkj_corr_cholesky_lupdf	2.25
lkj_corr_cholesky_rng	2.4
lkj_corr_lpdf	2.12
lkj_corr_lupdf	2.25
lkj_corr_rng	2.0
lmgamma	2.0
lmultiply	2.10
log	2.0
log10	2.0
log1m	2.0
log1m_exp	2.0
